"NOME","INDICADOR_329","INDICADOR_62","INDICADOR_89","INDICADOR_90","INDICADOR_333","INDICADOR_73","INDICADOR_74","INDICADOR_80","INDICADOR_81","INDICADOR_176","INDICADOR_202","INDICADOR_184","INDICADOR_7","INDICADOR_201","sum"
"Curral Velho",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Damião",NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
"Desterro",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Vista Serrana",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0
"Diamante",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Dona Inês",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Duas Estradas",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Emas",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Esperança",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Fagundes",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Frei Martinho",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Gado Bravo",NA,0,NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"Guarabira",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Gurinhém",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Gurjão",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Ibiara",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Imaculada",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Ingá",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Itabaiana",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Itaporanga",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Itapororoca",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Itatuba",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Jacaraú",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Jericó",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"João Pessoa",NA,0,0,0,NA,0,0,0,0,0,-1,0,0,0,1
"Juarez Távora",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Juazeirinho",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Junco do Seridó",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Juripiranga",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Juru",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Lagoa",NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
"Lagoa de Dentro",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0
"Lagoa Seca",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Lastro",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Livramento",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Logradouro",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Lucena",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Mãe d'Água",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Malta",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Mamanguape",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Manaíra",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Marcação",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Mari",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Marizópolis",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Massaranduba",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Mataraca",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Matinhas",NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
"Mato Grosso",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Maturéia",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Mogeiro",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Montadas",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Monte Horebe",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Monteiro",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Mulungu",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Natuba",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Nazarezinho",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Nova Floresta",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Nova Olinda",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Nova Palmeira",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Olho d'Água",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Olivedos",NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Ouro Velho",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Parari",NA,0,NA,NA,NA,0,0,0,0,0,0,0,1,NA,1
"Passagem",NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
"Patos",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Paulista",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Pedra Branca",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Pedra Lavrada",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Pedras de Fogo",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Piancó",NA,0,0,0,NA,0,1,0,-1,0,0,0,0,0,2
"Picuí",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Pilar",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Pilões",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Pilõezinhos",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Pirpirituba",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Pitimbu",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Pocinhos",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Poço Dantas",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Poço de José de Moura",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Pombal",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Prata",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Princesa Isabel",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Puxinanã",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Queimadas",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Quixabá",NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,0
"Remígio",NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
"Pedro Régis",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Riachão",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Riachão do Bacamarte",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Riachão do Poço",NA,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,1
"Riacho de Santo Antônio",NA,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,1
"Riacho dos Cavalos",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Rio Tinto",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Salgadinho",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Salgado de São Félix",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Santa Cecília",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Santa Cruz",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Santa Helena",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Santa Inês",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0
"Santa Luzia",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Santana de Mangueira",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"Santana dos Garrotes",NA,0,NA,0,NA,0,0,0,0,-1,0,0,0,0,1
"Santarém",NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
"Santa Rita",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Santa Teresinha",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Santo André",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"São Bento",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"São Bentinho",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"São Domingos do Cariri",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0
"São Domingos",NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
"São Francisco",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"São João do Cariri",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"São João do Tigre",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"São José da Lagoa Tapada",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"São José de Caiana",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"São José de Espinharas",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"São José dos Ramos",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"São José de Piranhas",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"São José de Princesa",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0
"São José do Bonfim",NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
"São José do Brejo do Cruz",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"São José do Sabugi",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"São José dos Cordeiros",NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
"São Mamede",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"São Miguel de Taipu",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"São Sebastião de Lagoa de Roça",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"São Sebastião do Umbuzeiro",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Sapé",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Seridó",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Serra Branca",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Serra da Raiz",NA,0,0,0,NA,0,0,0,0,0,0,0,1,0,1
"Serra Grande",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,1,1
"Serra Redonda",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Serraria",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Sertãozinho",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Sobrado",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Solânea",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Soledade",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Sossêgo",NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"Sousa",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Sumé",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Tacima",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Taperoá",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Tavares",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Teixeira",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Tenório",NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
"Triunfo",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Uiraúna",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Umbuzeiro",NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"Várzea",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,1
"Vieirópolis",NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"Zabelê",NA,0,NA,0,NA,0,0,0,0,0,-1,0,0,1,2
