"REGIAO","ANO","INDICADOR_329","INDICADOR_62","INDICADOR_199","INDICADOR_200","INDICADOR_333","INDICADOR_181","INDICADOR_182","INDICADOR_188","INDICADOR_189","INDICADOR_289","INDICADOR_290","INDICADOR_202","INDICADOR_184","INDICADOR_7","INDICADOR_201"
"Brejo Paraibano",2000,46.3623413347377,NA,NA,NA,82.5577878942001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brejo Paraibano",2007,NA,73.0196353208364,2.8,2.8,NA,10.9,NA,73.0196353208364,NA,51.9767783656673,NA,35.8922558922559,20.0367121507472,1722.87157955703,NA
"Brejo Paraibano",2008,NA,71.3652121788814,NA,NA,NA,9.3,NA,71.3652121788814,NA,45.7281983178398,NA,40.6635802469136,19.7617945133671,1852.83786151957,NA
"Brejo Paraibano",2009,NA,74.6050502564258,3.5,3,NA,8.35,NA,74.6050502564258,NA,50.3116766274661,NA,40.3378817413905,18.696661272464,2079.76285755063,0.7049225
"Brejo Paraibano",2010,36.3463181250065,76.5821927077569,NA,NA,91.3474480992409,6.9,NA,76.5821927077569,NA,52.3704789833822,NA,39.6674826601387,18.6979591836735,2329.08844895779,NA
"Brejo Paraibano",2011,NA,73.6727973039366,3.5,3.2,NA,6.4,NA,73.6727973039366,NA,55.6639344262295,12.9401942926533,37.5534188034188,18.4695644250045,2505.13286237622,0.5948355
"Cajazeiras",2000,38.3954062184475,NA,NA,NA,82.7967481365575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cajazeiras",2007,NA,62.9921086723003,2.9,2.9,NA,12,32,62.9921086723003,66.5,25.1851851851852,NA,37.5555555555556,18.2790697674419,1686.48852657697,NA
"Cajazeiras",2008,NA,64.4967617816415,NA,NA,NA,11,8.2,64.4967617816415,90,30,NA,41.8803418803419,15.8769230769231,1964.3954868893,NA
"Cajazeiras",2009,NA,69.0931418998649,3.4,2.8,NA,8.7,NA,69.0931418998649,NA,26.4367816091954,NA,41.6666666666667,15.9189189189189,2018.99777852121,0.70174
"Cajazeiras",2010,28.6237708260142,63.4547846190046,NA,NA,92.7530496418008,8.4,NA,63.4547846190046,NA,35.8974358974359,NA,40.1234567901235,14.3309352517986,2372.05791429743,NA
"Cajazeiras",2011,NA,66.7779410523609,3.8,3.2,NA,7,NA,66.7779410523609,NA,44.4444444444444,21.0382513661202,36.6666666666667,15.7324840764331,2674.94922515953,0.589127
"Campina Grande",2000,33.2095856617226,NA,NA,NA,86.0746725538757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campina Grande",2007,NA,75.2342458361088,3.4,2.9,NA,9.05,9.95,75.2342458361088,84.6,58.4249084249084,NA,37.3199023199023,20.2425399028453,1554.92136688807,NA
"Campina Grande",2008,NA,73.9547014946455,NA,NA,NA,7.85,4.8,73.9547014946455,92.15,55.2965552965553,NA,42.3687423687424,20.1608580200813,1820.7946815643,NA
"Campina Grande",2009,NA,76.9636507423886,3.7,2.8,NA,6.6,NA,76.9636507423886,NA,57.4168148336297,NA,41.5032679738563,19.4328437310721,2039.56609983545,0.805393
"Campina Grande",2010,22.6940870953654,75.668571816418,NA,NA,93.2799460105535,6.85,NA,75.668571816418,NA,61.9855072463768,NA,38.8227513227513,18.3090954522739,2233.42367071555,NA
"Campina Grande",2011,NA,69.2062370983031,4.05,3,NA,5,6.5,69.2062370983031,77.1,63.9299282397636,19.1546685673556,36.2984283625731,18.2106541461085,2481.32484619129,0.6575735
"Cariri Ocidental",2000,34.9707015438378,NA,NA,NA,85.1849268544304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cariri Ocidental",2007,NA,65.5938797255661,3.5,2.9,NA,4.7,79.2,65.5938797255661,20.8,62.7450980392157,NA,34.4444444444444,16.953125,2041.07693054618,NA
"Cariri Ocidental",2008,NA,62.7436586602472,NA,NA,NA,4.7,25,62.7436586602472,75,57,NA,38.8888888888889,15.0882352941176,2259.29821090275,NA
"Cariri Ocidental",2009,NA,64.4290993479153,3.6,3.2,NA,5,NA,64.4290993479153,NA,66.0714285714286,NA,37.5,15.7272727272727,2498.46643144109,0.6974185
"Cariri Ocidental",2010,25.2795922726051,70.0376451376007,NA,NA,93.1042042685205,3.6,0,70.0376451376007,88,68.4210526315789,NA,37.037037037037,15.9736842105263,2684.96242351972,NA
"Cariri Ocidental",2011,NA,64.6753724594036,3.9,3.3,NA,4.3,4,64.6753724594036,96,74,14.8148148148148,35.1010101010101,15.0606060606061,2971.25385245902,0.6032705
"Cariri Oriental",2000,31.400872891533,NA,NA,NA,88.2854185386252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cariri Oriental",2007,NA,62.1263500725208,3.3,3.2,NA,7.4,10.1,62.1263500725208,84.15,62.0192307692307,NA,38.1018518518518,17.4899835796388,2085.4711382605,NA
"Cariri Oriental",2008,NA,56.2458411143724,NA,NA,NA,4.7,14.7,56.2458411143724,70.5,61.29656507015,NA,41.9444444444444,16.8293650793651,2405.58547501444,NA
"Cariri Oriental",2009,NA,68.2813089834038,3.9,3.2,NA,4.5,6.4,68.2813089834038,87.6,62.7717391304348,NA,39.7366522366522,16.1607538802661,2504.02995102576,0.753694
"Cariri Oriental",2010,24.1973216660372,58.39319019856,NA,NA,93.2354414415284,4.65,10.8,58.39319019856,83.7,59.6443228454172,NA,38.6772486772487,14.789641943734,2575.89439972253,NA
"Cariri Oriental",2011,NA,63.7686272349606,4.05,3.7,NA,5.25,11.1,63.7686272349606,88.9,64.0350877192982,21.8713105076741,35.7753357753357,14.3935950413223,3084.15789663808,0.634227
"Catolé do Rocha",2000,39.8133118185663,NA,NA,NA,80.2321690947797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catolé do Rocha",2007,NA,66.8608868691791,2.8,2.5,NA,12.2,10,66.8608868691791,82,36.7924528301887,NA,36.6161616161616,17.5454545454545,1995.72912698299,NA
"Catolé do Rocha",2008,NA,64.0881775217517,NA,NA,NA,8.3,NA,64.0881775217517,NA,41.871921182266,NA,40.8212560386473,16.5147058823529,2256.95560718424,NA
"Catolé do Rocha",2009,NA,75.2435306000791,3.35,3.1,NA,7.2,NA,75.2435306000791,NA,39.2857142857143,NA,39.5061728395062,16.6984126984127,1993.61313413487,0.7247895
